 ,secID,ticker,exchangeCD,secShortName,secFullName,industryVersionCD,industry,industryID,industrySymbol,intoDate,outDate,isNew,industryID1,industryName1,industryID2,industryName2
6299,300061.XSHE,300061,XSHE,康旗股份,上海康耐特旗计智能科技集团股份有限公司,10303,申万行业分类,10303160305,360301,2010/3/10,2011/1/10,0,1030316,轻工制造,103031603,家用轻工
6300,300062.XSHE,300062,XSHE,中能电气,中能电气股份有限公司,10303,申万行业分类,10303080402,630402,2014/1/1,2016/1/18,0,1030308,电气设备,103030804,高低压设备
6301,300062.XSHE,300062,XSHE,中能电气,中能电气股份有限公司,10303,申万行业分类,10303080402,630402,2016/1/18,,1,1030308,电气设备,103030804,高低压设备
6302,300062.XSHE,300062,XSHE,中能电气,中能电气股份有限公司,10303,申万行业分类,10303300404,260404,2010/3/10,2014/1/1,0,1030330,机械设备,103033004,电气设备
6303,300063.XSHE,300063,XSHE,天龙集团,广东天龙油墨集团股份有限公司,10303,申万行业分类,10303030305,220305,2010/1/18,2010/3/18,0,1030303,化工,103030303,化学制品
6304,300063.XSHE,300063,XSHE,天龙集团,广东天龙油墨集团股份有限公司,10303,申万行业分类,10303260201,720201,2014/1/1,,1,1030326,传媒,103032602,营销传播
6305,300063.XSHE,300063,XSHE,天龙集团,广东天龙油墨集团股份有限公司,10303,申万行业分类,10303340403,470403,2010/3/18,2014/1/1,0,1030334,信息服务,103033404,传媒
6306,300064.XSHE,300064,XSHE,豫金刚石,郑州华晶金刚石股份有限公司,10303,申万行业分类,10303090103,640103,2014/1/1,2015/10/16,0,1030309,机械设备,103030901,通用机械
6307,300064.XSHE,300064,XSHE,豫金刚石,郑州华晶金刚石股份有限公司,10303,申万行业分类,10303090103,640103,2015/10/16,,1,1030309,机械设备,103030901,通用机械
6308,300064.XSHE,300064,XSHE,豫金刚石,郑州华晶金刚石股份有限公司,10303,申万行业分类,10303300103,260103,2010/3/18,2014/1/1,0,1030330,机械设备,103033001,通用机械
6309,300065.XSHE,300065,XSHE,海兰信,北京海兰信数据科技股份有限公司,10303,申万行业分类,10303250101,710101,2014/1/1,2015/10/16,0,1030325,计算机,103032501,计算机设备
6310,300065.XSHE,300065,XSHE,海兰信,北京海兰信数据科技股份有限公司,10303,申万行业分类,10303250101,710101,2015/10/16,2016/5/17,0,1030325,计算机,103032501,计算机设备
6311,300065.XSHE,300065,XSHE,海兰信,北京海兰信数据科技股份有限公司,10303,申万行业分类,10303250101,710101,2016/5/17,2016/8/25,0,1030325,计算机,103032501,计算机设备
6312,300065.XSHE,300065,XSHE,海兰信,北京海兰信数据科技股份有限公司,10303,申万行业分类,10303250101,710101,2016/8/25,2016/10/10,0,1030325,计算机,103032501,计算机设备
6313,300065.XSHE,300065,XSHE,海兰信,北京海兰信数据科技股份有限公司,10303,申万行业分类,10303250101,710101,2016/10/10,,1,1030325,计算机,103032501,计算机设备
6314,300065.XSHE,300065,XSHE,海兰信,北京海兰信数据科技股份有限公司,10303,申万行业分类,10303320201,320201,2010/3/19,2014/1/1,0,1030332,信息设备,103033202,计算机设备
6315,300066.XSHE,300066,XSHE,三川智慧,三川智慧科技股份有限公司,10303,申万行业分类,10303090301,640301,2014/1/1,2015/8/4,0,1030309,机械设备,103030903,仪器仪表
6316,300066.XSHE,300066,XSHE,三川智慧,三川智慧科技股份有限公司,10303,申万行业分类,10303090301,640301,2015/8/4,2015/11/2,0,1030309,机械设备,103030903,仪器仪表
6317,300066.XSHE,300066,XSHE,三川智慧,三川智慧科技股份有限公司,10303,申万行业分类,10303090301,640301,2015/11/2,2016/2/19,0,1030309,机械设备,103030903,仪器仪表
6318,300066.XSHE,300066,XSHE,三川智慧,三川智慧科技股份有限公司,10303,申万行业分类,10303090301,640301,2016/2/19,,1,1030309,机械设备,103030903,仪器仪表
6319,300066.XSHE,300066,XSHE,三川智慧,三川智慧科技股份有限公司,10303,申万行业分类,10303300301,260301,2010/3/18,2014/1/1,0,1030330,机械设备,103033003,仪器仪表
6320,300067.XSHE,300067,XSHE,安诺其,上海安诺其集团股份有限公司,10303,申万行业分类,10303030308,220308,2010/1/9,2010/4/9,0,1030303,化工,103030303,化学制品
6321,300067.XSHE,300067,XSHE,安诺其,上海安诺其集团股份有限公司,10303,申万行业分类,10303030308,220308,2010/4/9,,1,1030303,化工,103030303,化学制品
6322,300068.XSHE,300068,XSHE,南都电源,浙江南都电源动力股份有限公司,10303,申万行业分类,10303080305,630305,2014/1/1,2015/10/16,0,1030308,电气设备,103030803,电源设备
6323,300068.XSHE,300068,XSHE,南都电源,浙江南都电源动力股份有限公司,10303,申万行业分类,10303080305,630305,2015/10/16,,1,1030308,电气设备,103030803,电源设备
6324,300068.XSHE,300068,XSHE,南都电源,浙江南都电源动力股份有限公司,10303,申万行业分类,10303300403,260403,2010/4/9,2014/1/1,0,1030330,机械设备,103033004,电气设备
6325,300069.XSHE,300069,XSHE,金利华电,浙江金利华电气股份有限公司,10303,申万行业分类,10303080404,630404,2014/1/1,2016/9/28,0,1030308,电气设备,103030804,高低压设备
6326,300069.XSHE,300069,XSHE,金利华电,浙江金利华电气股份有限公司,10303,申万行业分类,10303080404,630404,2016/9/28,,1,1030308,电气设备,103030804,高低压设备
6327,300069.XSHE,300069,XSHE,金利华电,浙江金利华电气股份有限公司,10303,申万行业分类,10303300404,260404,2010/4/9,2014/1/1,0,1030330,机械设备,103033004,电气设备
6328,300070.XSHE,300070,XSHE,碧水源,北京碧水源科技股份有限公司,10303,申万行业分类,10303180201,410201,2010/4/12,2013/1/1,0,1030318,公用事业,103031802,水务
6329,300070.XSHE,300070,XSHE,碧水源,北京碧水源科技股份有限公司,10303,申万行业分类,10303180401,410401,2013/1/1,2013/7/1,0,1030318,公用事业,103031804,环保工程及服务
6330,300070.XSHE,300070,XSHE,碧水源,北京碧水源科技股份有限公司,10303,申万行业分类,10303180401,410401,2013/7/1,2015/6/2,0,1030318,公用事业,103031804,环保工程及服务
6331,300070.XSHE,300070,XSHE,碧水源,北京碧水源科技股份有限公司,10303,申万行业分类,10303180401,410401,2015/6/2,,1,1030318,公用事业,103031804,环保工程及服务
6332,300071.XSHE,300071,XSHE,华谊嘉信,北京华谊嘉信整合营销顾问集团股份有限公司,10303,申万行业分类,10303260201,720201,2015/10/31,2015/11/2,0,1030326,传媒,103032602,营销传播
